"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já.listada"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Begoniaceae","Begonia","capanemae","Brade","BEGONIACEAE Begonia capanemae Brade","HUSC008461","Splink","HUSC","Martins, S.E.","1025","Native","Bronze","Parque Natural Municipal Morro do Ouro.","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Begoniaceae","Begonia","fruticosa","(Klotzsch) A.DC.","BEGONIACEAE Begonia fruticosa (Klotzsch) A.DC.","HUSC008462","Splink","HUSC","Martins, S.E.","1026","Native","Bronze","Parque Natural Municipal Morro do Ouro.","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Billbergia","amoena","(Lodd.) Lindl.","BROMELIACEAE Billbergia amoena (Lodd.) Lindl.","412468","Splink","SP","Martins, S.E.","1015","Native","Bronze","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Nidularium","amazonicum","(Baker) Linden & É.Morren ex Lindm.","BROMELIACEAE Nidularium amazonicum (Baker) Linden & É.Morren ex Lindm.","412470","Splink","SP","Martins, S.E.","1017","Native","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Vriesea","flava","A.F.Costa, H.Luther & Wand.","BROMELIACEAE Vriesea flava A.F.Costa, H.Luther & Wand.","412469","Splink","SP","Martins, S.E.","1010","Native","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Vriesea","friburgensis","Mez","BROMELIACEAE Vriesea friburgensis Mez","412473","Splink","SP","Martins, S.E.","1011","Native","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Vriesea","pabstii","McWill. & L.B.Sm.","BROMELIACEAE Vriesea pabstii McWill. & L.B.Sm.","412472","Splink","SP","Martins, S.E.","1016","Native","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Bromeliaceae","Vriesea","platynema","Gaudich.","BROMELIACEAE Vriesea platynema Gaudich.","412489","Splink","SP","Martins, S.E.","1014","Native","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Fungi","Burseraceae","Fomitiporia","apiahyna","(Speg.) Robledo, Decock & Rajchenb.","BURSERACEAE Fomitiporia apiahyna (Speg.) Robledo, Decock & Rajchenb.","ICN00044542","Splink","ICN","Alves-Silva, G.","1270","Unknown","Ouro","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Burseraceae","Fomitiporia","subtilissima","Alves-Silva, Reck & Drechsler-Santos","BURSERACEAE Fomitiporia subtilissima Alves-Silva, Reck & Drechsler-Santos","200568","Splink","ICN","Alves-Silva, G.","1276",,"Bronze","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Elaeocarpaceae","Sloanea",,"L.","ELAEOCARPACEAE Sloanea L.","HUSC008590","Splink","HUSC","Aragaki, S.","1073",,"Latão","Parque Natural Municipal Morro do Ouro","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Gesneriaceae","Nematanthus","tessmannii","(Hoehne) Chautems","GESNERIACEAE Nematanthus tessmannii (Hoehne) Chautems","HUSC008699","Splink","HUSC","Martins, S.E.","1009","Native","Bronze","Parque Natural Municipal Morro do Ouro.","Não"
"PARQUE NATURAL MUNICIPAL MORRO DO OURO","Angiosperms","Monimiaceae","Mollinedia",,"Ruiz & Pav.","MONIMIACEAE Mollinedia Ruiz & Pav.","HUSC010061","Splink","HUSC","Aragaki, S.","1088",,"Latão","Parque Natural Municipal Morro do Ouro.","Não"
