"","data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","coordinatePrecision","institutionCode","phylum","class","order","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","dayIdentified","collectionID","specificepithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","locality","verbatimLatitude","verbatimLongitude","barcode","occurrenceRemarks","minimumelevationinmeters","maximumelevationinmeters","infraspecificepithet","individualcount","preparationtype","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","X","gbifID","accessRights","language","license","publisher","references","rightsHolder","institutionID","ownerInstitutionCode","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventTime","startDayOfYear","endDayOfYear","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedByID","identificationReferences","identificationVerificationStatus","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","verbatimTaxonRank","vernacularName","nomenclaturalCode","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","associatedMedia","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","scientificNameAuthorship.y","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","source","loc.correct.mun.1","NAME_0.1","NAME_1.1","NAME_2.1","NAME_3.1","source.1","loc.correct.mun.2","NAME_0.2","NAME_1.2","NAME_2.2","NAME_3.2","source.2","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"Guettarda viburnoides","speciesLink","SPF","110321","Guettarda viburnoides","Plantae","Rubiaceae","Guettarda","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Pereira-Noronha, MR","1995","04",,"7","viburnoides","Pereira-Noronha, MR","-51.566667","-20.783333","2024-01-30T15:23:36","Cham. & Schltdl.","MSP1038","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00110321",,"355","355",,,,"SPLINK","Andradina","1995-04-NA",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","MSP1038","1995","Pereira-Noronha, M.R.","1995",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Guettarda viburnoides","Cham. & Schltdl.","possibly_ok","Rubiaceae","Guettarda viburnoides","Cham. & Schltdl.","species","name accepted","bfo-14057",,,"Guettarda viburnoides Cham. & Schltdl.","Guettarda","Rubiaceae","low","Guettarda viburnoides"
"Helietta apiculata","speciesLink","SPF","110323","Helietta apiculata","Plantae","Rutaceae","Helietta","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Pereira-Noronha, MR","1995","06","08","7","apiculata","Pereira-Noronha, MR","-51.566667","-20.783333","2023-12-20T16:08:15","Benth.","1065","Reserva Biológica de Andradina, Mta à margem de pasto.","-20.783333","-51.566667","SPF00110323","<nO>Árvore, ca. 3m alt., frutos cor de palha.</nO>","355","355",,,,"SPLINK","Andradina","1995-06-08",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1065","1995","Pereira-Noronha, M.R.","1995",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Helietta apiculata","Benth.","possibly_ok","Rutaceae","Helietta apiculata","Benth.","species","name accepted","bfo-774",,,"Helietta apiculata Benth.","Helietta","Rutaceae","low","Helietta apiculata"
"Mabea fistulifera","speciesLink","SPF","110355","Mabea fistulifera","Plantae","Euphorbiaceae","Mabea","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Pereira-Noronha, MR","1995","04","11","7","fistulifera","Pereira-Noronha, MR","-51.566667","-20.783333","2023-12-20T15:59:36","Mart.","MSP1010","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00110355","<nO>Árvore ca. 7 m alt., com látex branco e apenas botões.; Mata à margem de estrada.</nO>","355","355",,,,"SPLINK","Andradina","1995-04-11",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","MSP1010","1995","Pereira-Noronha, M.R.","1995",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Mabea fistulifera","Mart.","possibly_ok","Euphorbiaceae","Mabea fistulifera","Mart.","species","name accepted","bfo-22717",,,"Mabea fistulifera Mart.","Mabea","Euphorbiaceae","low","Mabea fistulifera"
"Maytenus","speciesLink","SPF","120378","Maytenus","Plantae","Celastraceae","Maytenus","1995","08","07","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen",,,,,"7",,"Pereira-Noronha, MR","-51.566667","-20.783333","2023-12-20T15:57:21",,"1438","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00120378",,"355","355",,,,"SPLINK","Andradina",,,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1438","1995","s.n.","n.d.",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Maytenus","Molina","indet","Celastraceae","Maytenus","Molina","genus","name accepted","bfo-6746",,,"Maytenus Molina","Maytenus","Celastraceae","unknown",
"Nectandra megapotamica","speciesLink","SPF","110342","Nectandra megapotamica","Plantae","Lauraceae","Nectandra","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Baitello, JB","1997","09",,"7","megapotamica","Pereira-Noronha, MR","-51.566667","-20.783333","2023-12-20T16:00:28","(Spreng.) Mez","MSP1049","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00110342",,"355","355",,,,"SPLINK","Andradina","1997-09-NA",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","MSP1049","1995","Baitello, J.B.","1997",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Nectandra megapotamica","(Spreng.) Mez","possibly_ok","Lauraceae","Nectandra megapotamica","(Spreng.) Mez","species","name accepted","bfo-8431",,,"Nectandra megapotamica (Spreng.) Mez","Nectandra","Lauraceae","high","Nectandra megapotamica"
"Rudgea coronata subsp. ochroleuca","speciesLink","SPF","110322","Rudgea coronata ochroleuca","Plantae","Rubiaceae","Rudgea","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Zappi, DC","2006",,,"7","coronata","Pereira-Noronha, MR","-51.566667","-20.783333","2024-01-30T15:23:48","(Müll.Arg.) Zappi","1027","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00110322",,"355","355","ochroleuca",,,"SPLINK","Andradina","2006-NA-NA",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1027","1995","Zappi, D.C.","2006",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Rudgea coronata subsp. ochroleuca","(Müll.Arg.) Zappi","not_Genus_epithet_format","Rubiaceae","Rudgea coronata subsp. ochroleuca","(Müll.Arg.) Zappi","subspecies","name misspelled","bfo-39283",,,"Rudgea coronata subsp. ochroleuca (Müll.Arg.) Zappi","Rudgea","Rubiaceae","high","Rudgea coronata"
"Securidaca ovalifolia","speciesLink","SPF","120446","Securidaca ovalifolia","Plantae","Polygalaceae","Securidaca","1995","08","07","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Anjos, CB","2024","04","16","7","ovalifolia","Pereira-Noronha, MR","-51.566667","-20.783333","2024-06-28T10:54:25","A.St.-Hil. & Moq.","1443","Reserva Biológica de Andradina","-20.783333","-51.566667","SPF00120446",,"355","355",,,,"SPLINK","Andradina","2024-04-16",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1443","1995","Anjos, C.B.","2024",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Securidaca ovalifolia","A.St.-Hil. & Moq.","possibly_ok","Polygalaceae","Securidaca ovalifolia","A.St.-Hil. & Moq.","species","name accepted","bfo-103218",,,"Securidaca ovalifolia A.St.-Hil. & Moq.","Securidaca","Polygalaceae","low","Securidaca ovalifolia"
"Senegalia fiebrigii","speciesLink","SPF","110347","Senegalia fiebrigii","Plantae","Leguminosae","Senegalia","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Ribeiro, PG","2013","04",,"7","fiebrigii","Pereira-Noronha, MR","-51.566667","-20.783333","2024-01-30T15:21:47","(Hassl.) Seigler & Ebinger","MSP1059","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina.","-20.783333","-51.566667","SPF00110347",,"355","355",,,,"SPLINK","Andradina","2013-04-NA",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","MSP1059","1995","Ribeiro, P.G.","2013",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Senegalia fiebrigii","(Hassl.) Seigler & Ebinger","possibly_ok","Fabaceae","Senegalia fiebrigii","(Hassl.) Seigler & Ebinger","species","name accepted","bfo-615034",,,"Senegalia fiebrigii (Hassl.) Seigler & Ebinger","Senegalia","Fabaceae","high","Senegalia fiebrigii"
"Senegalia polyphylla","speciesLink","SPF","110801","Senegalia polyphylla","Plantae","Leguminosae","Senegalia","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Ribeiro, PG","2011","05",,"7","polyphylla","Pereira-Noronha, MR","-51.566667","-20.783333","2024-01-30T15:21:47","(DC.) Britton & Rose","MSP1017","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina.","-20.783333","-51.566667","SPF00110801",,"355","355",,,,"SPLINK","Andradina","2011-05-NA",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","MSP1017","1995","Ribeiro, P.G.","2011",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Senegalia polyphylla","(DC.) Britton & Rose","possibly_ok","Fabaceae","Senegalia polyphylla","(DC.) Britton & Rose","species","name accepted","bfo-101015",,,"Senegalia polyphylla (DC.) Britton & Rose","Senegalia","Fabaceae","high","Senegalia polyphylla"
"Tapirira guianensis","speciesLink","SPF","120349","Tapirira guianensis","Plantae","Anacardiaceae","Tapirira","1995","08","07","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Pereira-Noronha, MR","1995","08","07","7","guianensis","Pereira-Noronha, MR","-51.566667","-20.783333","2024-01-30T15:18:06","Aubl.","1441","Reserva Biológica de Andradina, Mata com ca.d e 70 ha., relativamente bem preservada.","-20.783333","-51.566667","SPF00120349","<nO>Árvore ca. de 7 m alt., flores creme-esverdeadas.</nO>","355","355",,,,"SPLINK","Andradina","1995-08-07",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1441","1995","Pereira-Noronha, M.R.","1995",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina, mata com ca, relativamente bem preservada",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Tapirira guianensis","Aubl.","possibly_ok","Anacardiaceae","Tapirira guianensis","Aubl.","species","name accepted","bfo-4408",,,"Tapirira guianensis Aubl.","Tapirira","Anacardiaceae","low","Tapirira guianensis"
"Trema micranthum","speciesLink","SPF","121357","Trema micrantha","Plantae","Cannabaceae","Trema","1995","04","11","Brasil","São Paulo",,"Andradina",,"USP",,,,"PreservedSpecimen","Pereira-Noronha, MR","1995","04","11","7","micrantha","Pereira-Noronha, MR","-51.566667","-20.783333","2023-12-20T15:57:16","(L.) Blume","1050","Reserva Biológica de Andradina, Reserva Biológica da Estação experimental de Zootecnia de andradina. Mata próximo a córrego e margem de estrada.","-20.783333","-51.566667","SPF00121357","<nO>Árvore ca. 4,5m alt., com frutos verdes.</nO>","355","355",,,,"SPLINK","Andradina","1995-04-11",,,,,,,,,,,,,,,,,,"SPF",,"Pereira-Noronha, M.R.","1050","1995","Pereira-Noronha, M.R.","1995",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina, reserva biologica da estacao experimental de zootecnia de andradina, mata proximo a corrego e margem de estrada",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Trema micranthum","(L.) Blume","possibly_ok","Cannabaceae","Trema micranthum","(L.) Blume","species","replaced orth. variant","bfo-106894","Trema micranthum","(L.) Blume","Trema micranthum (L.) Blume","Trema","Cannabaceae","low","Trema micranthum"
