"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","continentocean","county","institutionCode","phylum","class","order","basisOfRecord","identifiedBy","yearIdentified","monthIdentified","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","recordNumber","occurrenceRemarks","locality","dayIdentified","verbatimLatitude","verbatimLongitude","coordinatePrecision","barcode","minimumElevationInMeters","maximumElevationInMeters","preparationtype","fieldNumber","infraspecificEpithet","typeStatus","individualcount","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"gbif","SPFR","9005","Acalypha L.","Plantae","Euphorbiaceae","Acalypha","2006","3","16","Brasil","São Paulo",,,"FFCLRP","Tracheophyta","Magnoliopsida","Malpighiales","PRESERVED_SPECIMEN",,,,"https://specieslink.net/col/455",,"Silva, K.F.; Groppo, M.","-47.833333","-21.216667","2024-08-12 19:31:22",,"12",,"Estação Ecológica de Ribeirão Preto (Mata Santa Teresa). Na estrada da reserva",,,,,,"581","581",,,,,,,"GBIF","Ribeirão Preto",,"Acalypha L.",,"BR",,,"2006-03-16",,,,,,"ACCEPTED","GENUS",,,,,,,,,,,,,,,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, mata santa teresa, na estrada da reserva",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","4929255416",,,,"https://specieslink.net/guid/455/9005",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acalypha",,,,,,"7b203230-ba55-4da6-9274-e1d7b1b95987",,,TRUE,FALSE,,"Acalypha","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/SPFR009005",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"check_local.2municip.","Acalypha","L.","name_w_authors","Euphorbiaceae","Acalypha","L.","genus","name accepted","bfo-17439",,,"Acalypha L.","Acalypha","Euphorbiaceae","unknown",
"speciesLink","SPFR","17506","Acanthaceae","Plantae","Acanthaceae",,"2014","10","17","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen",,,,"455",,"Ferreira, M.H.","-47.85","-21.216667","2025-05-13T17:36:30",,"106","<nO>Arbusto ca. 1,6m</nO>","Estação Ecológica de Ribeirão Preto. Borda, estrada setor 2",,"21o13'S","47o51'W",,"SPFR017506",,,,,,,,,"SPLINK","Ribeirão Preto",,,,,,,,,,,,,,,,,,,"SPFR",,"Ferreira, M.H.","106","2014","s.n.","n.d.",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada setor 2",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Acanthaceae","Juss.","family_as_genus","Acanthaceae","Acanthaceae","Juss.","family","name accepted","bfo-33",,,"Acanthaceae Juss.",,"Acanthaceae","unknown",
"gbif","SPFR","17543","Acanthospermum australe (Loefl.) Kuntze","Plantae","Asteraceae","Acanthospermum","2014","11","12","Brasil","São Paulo",,,"FFCLRP","Tracheophyta","Magnoliopsida","Asterales","PRESERVED_SPECIMEN","Ferreira, P.L.",,,"https://specieslink.net/col/455","australe","Ferreira, M.H.","-47.85","-21.216667","2024-07-13 14:30:21","(Loefl.) Kuntze","133",,"Estação Ecológica de Ribeirão Preto. Próximo à rodovia",,,,,,,,,,,,,,"GBIF","Ribeirão Preto","2016-02-01","Acanthospermum australe (Loefl.) Kuntze",,"BR",,,"2014-11-12",,,,,,"ACCEPTED","SPECIES",,,,,,,,,,,,,,,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proximo a rodovia",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county","4918984466",,,,"https://specieslink.net/guid/455/17543",,,,,"PRESENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acanthospermum",,,,,,"7b203230-ba55-4da6-9274-e1d7b1b95987",,,TRUE,FALSE,"Acanthospermum australe","Acanthospermum australe","null",FALSE,"LATIN_AMERICA","LATIN_AMERICA","NE","https://images.cria.org.br/viewer/SPFR017543",,,"WGS84",,,,,,,,,,,,,,,,,,"brazil_sao paulo_ribeirao preto","Brazil","São Paulo","Ribeirão Preto",,"check_local.2municip.","Acanthospermum australe","(Loefl.) Kuntze","name_w_authors","Asteraceae","Acanthospermum australe","(Loefl.) Kuntze","species","name accepted","bfo-103231",,,"Acanthospermum australe (Loefl.) Kuntze","Acanthospermum","Asteraceae","unknown","Acanthospermum australe"
"speciesLink","SPFR","13204","Actinostemon concepsionis","Plantae","Euphorbiaceae","Actinostemon","2005","12","05","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Tanaka, G.K.","2005","12","455","concepsionis","Tanaka, G.K.","-47.833333","-21.216667","2025-05-13T17:37:31","(Chodat & Hassl.) Hochr.","34","<nO>Árvore, ca. 3m de altura; PAP 17cm</nO>","Estação Ecológica de Ribeirão Preto. No interior do fragmento onde se encontra a sede","05","21o13'S","47o50'W",,"SPFR013204",,,,,,,,,"SPLINK","Ribeirão Preto","2005-12-05",,,,,,,,,,,,,,,,,,"SPFR",,"Tanaka, G.K.","34","2005","Tanaka, G.K.","2005",,"Tanaka",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","possibly_ok","Euphorbiaceae","Actinostemon concepcionis","(Chodat & Hassl.) Hochr.","species","name misspelled","bfo-29144",,,"Actinostemon concepcionis (Chodat & Hassl.) Hochr.","Actinostemon","Euphorbiaceae","low","Actinostemon concepcionis"
"speciesLink","SPFR","19083","Adenocalymma bracteatum","Plantae","Bignoniaceae","Adenocalymma","2015","05","13","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Zuntini, A.R.","2015","12","455","bracteatum","Ferreira, M.H.","-47.85","-21.216667","2025-05-13T17:37:06","(Cham.) DC.","199","<nO>Liana, flores amarelas</nO>","Estação Ecológica de Ribeirão Preto. Estrada que separa a estação ecológica da APP",,"21o13'S","47o51'W",,"SPFR019083",,,,,,,,,"SPLINK","Ribeirão Preto","2015-12-NA",,,,,,,,,,,,,,,,,,"SPFR",,"Ferreira, M.H.","199","2015","Zuntini, A.R.","2015",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, estrada que separa a estacao ecologica da app",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Adenocalymma bracteatum","(Cham.) DC.","possibly_ok","Bignoniaceae","Adenocalymma bracteatum","(Cham.) DC.","species","name accepted","bfo-112322",,,"Adenocalymma bracteatum (Cham.) DC.","Adenocalymma","Bignoniaceae","high","Adenocalymma bracteatum"
"speciesLink","SPFR","18323","Aegiphila integrifolia","Plantae","Lamiaceae","Aegiphila","2015","02","05","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Maeoka, H.M.","2023","08","455","integrifolia","Ferreira, M.H.","-47.85","-21.216667","2025-05-13T17:37:49","(Jacq.) Moldenke","167","<nO>Arbusto, ca. 2,5m, flores brancas</nO>","Estação Ecológica de Ribeirão Preto. Borda da mata, próxima à rodovia","24","21o13'S","47o51'W",,"SPFR018323",,,,,,,,,"SPLINK","Ribeirão Preto","2023-08-24",,,,,,,,,,,,,,,,,,"SPFR",,"Ferreira, M.H.","167","2015","Maeoka, H.M.","2023",,"Ferreira",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto, proxima a rodovia",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Aegiphila integrifolia","(Jacq.) Moldenke","possibly_ok","Lamiaceae","Aegiphila integrifolia","(Jacq.) Moldenke","species","name accepted","bfo-23320",,,"Aegiphila integrifolia (Jacq.) Moldenke","Aegiphila","Lamiaceae","low","Aegiphila integrifolia"
"speciesLink","SPFR","13156","Agonandra brasiliensis","Plantae","Opiliaceae","Agonandra","2005","12","12","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Tanaka, G.K.","2005","12","455","brasiliensis","Tanaka, G.K.","-47.833333","-21.216667","2025-05-13T17:38:22","Miers ex Benth. & Hook. f.","49","<nO>Árvore, ca. 8m de altura; PAP 27; tronco claro levemente fissurado</nO>","Estação Ecológica de Ribeirão Preto. Interior da Mata Santa Tereza","12","21o13'S","47o50'W",,"SPFR013156",,,,,,,,,"SPLINK","Ribeirão Preto","2005-12-12",,,,,,,,,,,,,,,,,,"SPFR",,"Tanaka, G.K.","49","2005","Tanaka, G.K.","2005",,"Tanaka",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","possibly_ok","Opiliaceae","Agonandra brasiliensis","Miers ex Benth. & Hook.f.","species","author misspelled","bfo-19966",,,"Agonandra brasiliensis Miers ex Benth. & Hook.f.","Agonandra","Opiliaceae","low","Agonandra brasiliensis"
"speciesLink","SPFR","13098","Albizia adianthifolia","Plantae","Fabaceae","Albizia","2005","12","15","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Tanaka, G.K.","2005","12","455","adianthifolia","Tanaka, G.K.","-47.833333","-21.216667","2025-05-13T17:37:34","(Schumach.) W.Wright","60","<nO>Arvoreta ca. 12 m alt.; PAP 50cm; tronco liso, levemente descamanteBorda da mata</nO>","Estação Ecológica de Ribeirão Preto. Ao longo da cerca","15","21o13'S","47o50'W",,"SPFR013098",,,,,,,,,"SPLINK","Ribeirão Preto","2005-12-15",,,,,,,,,,,,,,,,,,"SPFR",,"Tanaka, G.K.","60","2005","Tanaka, G.K.","2005",,"Tanaka",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Albizia adianthifolia","(Schumach.) W.Wight","possibly_ok","Fabaceae","Albizia adianthifolia","(Schumach.) W.Wight","species","author misspelled","bfo-611734",,,"Albizia adianthifolia (Schumach.) W.Wight","Albizia","Fabaceae","low","Albizia adianthifolia"
"speciesLink","SPFR","13195","Alchornea glandulosa","Plantae","Euphorbiaceae","Alchornea","2005","12","16","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Tanaka, G.K.","2005","12","455","glandulosa","Tanaka, G.K.; Aita, L.; Lopes, G.M. de M.; Pires, M.H.; Barosela, J.R.; Silva, E.S.R. da","-47.833333","-21.216667","2025-05-13T17:37:31","Poepp. & Endl.","74","<nO>Arvoreta ca. 6m alt.; PAP 33cmBorda da mata</nO>","Estação Ecológica de Ribeirão Preto. Ao longo da cerca","16","21o13'S","47o50'W",,"SPFR013195",,,,,,,,,"SPLINK","Ribeirão Preto","2005-12-16",,,,,,,,,,,,,,,,,,"SPFR",,"Tanaka, G.K.","74","2005","Tanaka, G.K.","2005","Aita, L.; Lopes, G.M.M.; Pires, M.H.; Barosela, J.R.; Silva, E.S.R.","Tanaka",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Alchornea glandulosa","Poepp. & Endl.","possibly_ok","Euphorbiaceae","Alchornea glandulosa","Poepp. & Endl.","species","name accepted","bfo-17456",,,"Alchornea glandulosa Poepp. & Endl.","Alchornea","Euphorbiaceae","low","Alchornea glandulosa"
"speciesLink","SPFR","13183","Alibertia edulis","Plantae","Rubiaceae","Alibertia","2006","07","31","Brasil","São Paulo",,"Ribeirão Preto","FFCLRP",,,,"PreservedSpecimen","Tanaka, G.K.",,,"455","edulis","Tanaka, G.K.","-47.833333","-21.216667","2025-05-13T17:38:32","(Rich.) A.Rich.","132",,"Estação Ecológica de Ribeirão Preto",,"21o13'S","47o50'W",,"SPFR013183",,,,,,,,,"SPLINK","Ribeirão Preto",,,,,,,,,,,,,,,,,,,"SPFR",,"Tanaka, G.K.","132","2006","Tanaka, G.K.","n.d.",,"Tanaka",,"brazil","sao paulo","ribeirao preto","estacao ecologica de ribeirao preto",,"locality","brazil_sao paulo_ribeirao preto","brazil_sao paulo_ribeirao preto",-21.21075101,-47.8210709,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Alibertia edulis","(Rich.) A.Rich.","possibly_ok","Rubiaceae","Alibertia edulis","(Rich.) A.Rich.","species","name accepted","bfo-20682",,,"Alibertia edulis (Rich.) A.Rich.","Alibertia","Rubiaceae","low","Alibertia edulis"
