datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited
2023-01-13T12:23:41	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4911	Plantae				Fabaceae	Melilotus	albus		Melilotus albus	Medik.		1934	12	07	A.Araújo	s.n.				F.C.Hoehne					São Paulo	Jardim botânico de São Paulo.	-24.070817	-47.049158	-47.049158	-24.070817													<nO>Erva. Flores alvas.; Cultivada.</nO>	MAC0004911					
2023-01-13T12:23:34	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25672	Plantae				Fabaceae	Inga	subnuda	luschnathiana	Inga subnuda luschnathiana	(Benth.) T.D.Penn.		1978	10	09	D.A.De; Grande; E.A.Lopes	117				E.Forero	2006	03	29		Cananéia	Ilha do Cardoso, Sítio de João Cardoso.	-25.038733	-48.928719	-48.928719	-25.038733													<nO>Árvore ca 4m de altura. Flores perfumadas esverdeadas com estames bra</nO>	MAC0025672					
2023-01-13T12:23:35	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4896	Plantae				Fabaceae	Leptolobium	elegans		Leptolobium elegans	Vogel		1968	11	22	T.Sendulski	875					2021	11	17		Botucatu.		-23.488781	-48.736303	-48.736303	-23.488781													<nO>Árvore.; Campo Cerrado.</nO>	MAC0004896					
2014-09-23T10:57:48	PreservedSpecimen	Brasil	São Paulo	G	G	G00371211	Plantae				Fabaceae	Machaerium	cantarellianum		Machaerium cantarellianum	Hoehne	ISOSYNTYPUS of Machaerium cantarellianum Hoehne	1932	01	20	Hoehne, F. C.	28731				Rudd, V. E.	1971	01	01	AMERIQUE DU SUD			-23.53277778	-46.63944444	-46.63944444	-23.53277778													<nO>Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site</nO>	G00371211					
2014-09-23T10:57:38	PreservedSpecimen	Brasil	São Paulo	G	G	G00370932	Plantae				Fabaceae	Chamaecrista	atroglandulosa		Chamaecrista atroglandulosa	(Taub.) H. S. Irwin & Barneby	ISOTYPUS of Cassia atroglandulosa Taub.	1876		00	Glaziou, A. F. M.	8414				Barneby, R.	1982	01	01	AMERIQUE DU SUD			-22.40444444	-48.65972222	-48.65972222	-22.40444444													<nO>Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site</nO>	G00370932					
2023-01-13T12:23:11	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4909	Plantae				Fabaceae	Cassia	leptophylla		Cassia leptophylla	Vogel		1936	12	24	A.Gehrt.	s.n.				F.C.Hoehne					São Paulo.		-23.934744	-47.060617	-47.060617	-23.934744													<nO>Árvore. Flores amarelas.; Cultivada de sementes recebidas de Santos Ignacio da Feli, Rio Grande do Sul.</nO>	MAC0004909					
2023-01-13T12:23:49	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4885	Plantae				Fabaceae	Platypodium	elegans		Platypodium elegans	Vogel		1936	12	09	A.Gehrt	s.n.				F.C.Hoehne					Tiete.		-24.0422	-48.196644	-48.196644	-24.0422													<nO>Árvore. Flor amarela.</nO>	MAC0004885					
2023-01-13T12:24:10	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	21756	Plantae				Fabaceae	Swartzia	apetala	apetala	Swartzia apetala apetala	Raddi		2002	04	22	A.I.L.Pinheiro; R.Gomes	s.n.				R.P.Lyra-Lemos	2006				Pindorama	Projeto Pindorama, Próximo margem do Rio Piauí.	-23.934744	-47.060617	-47.060617	-23.934744													<nO>Arbusto com ca. de 2,5m de altura. Frutos alaranjados.</nO>	MAC0021756					
2023-01-13T12:23:48	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	25571	Plantae				Fabaceae	Periandra	mediterranea		Periandra mediterranea	(Vell.) Taub.		1977	11	24	M.Sakane	703				G.P.Lewis	1982	02	13		Mogi-Guaçú	Pádua Sales. Reserva Biológica da Fazenda Campinin	-23.876189	-46.324075	-46.324075	-23.876189													<nO>Arbusto; Flores amarelo-claras.</nO>	MAC0025571					
2023-01-13T12:23:49	PreservedSpecimen	Brasil	São Paulo	IMA	MAC	4879	Plantae				Fabaceae	Pterocarpus	rohrii		Pterocarpus rohrii	Vahl		1960	10	14	O.Handro	957				W.Mantovani	1982	11			São Paulo	Jardim Botânico.	-21.36585	-48.331536	-48.331536	-21.36585													<nO>Árvore. Flores amarelas.; Cultivada.</nO>	MAC0004879					
